"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.0771474972066578,0.071848032661283,0.00708186643375963,0.280647118581062,1.00101846064506,4500,2003,"anti-logit Year eff","Asia"
2,0.0774536268419519,0.0588465998820602,0.0110030815832925,0.233497327341794,1.00270643348616,980,2004,"anti-logit Year eff","Asia"
3,0.187154175155188,0.107947996089938,0.0421781937360137,0.458258242348605,1.00101097585381,4500,2005,"anti-logit Year eff","Asia"
4,0.178414904366058,0.0908532368901994,0.0501973657662489,0.399860503549199,1.00176355721649,1800,2006,"anti-logit Year eff","Asia"
5,0.097912910324,0.0616043361472744,0.0209834607385631,0.253110154922354,1.00469776061173,500,2007,"anti-logit Year eff","Asia"
6,0.164529578206914,0.0819002159192192,0.0480440271202828,0.371680487856699,1.00114532821153,4200,2008,"anti-logit Year eff","Asia"
7,0.211687396458737,0.0940913394448055,0.0702708180803123,0.427050850480815,1.00237962452731,1200,2009,"anti-logit Year eff","Asia"
8,0.294757005576012,0.111764573077568,0.109052207710172,0.5458742301516,1.00115599334624,4100,2010,"anti-logit Year eff","Asia"
9,0.101502773836413,0.0558644071887805,0.0274587070834039,0.238163714087732,1.00312861195936,810,2011,"anti-logit Year eff","Asia"
10,0.167262214763854,0.0790173311527586,0.0527898986734739,0.356243331225662,1.00160372998893,2100,2012,"anti-logit Year eff","Asia"
11,0.105383790620636,0.0564020290268678,0.0289854300230665,0.239652986691577,1.00309935612987,820,2013,"anti-logit Year eff","Asia"
12,0.250248814169269,0.107916802800735,0.0858741296827141,0.48812399063296,1.00197560189439,1600,2014,"anti-logit Year eff","Asia"
13,0.369209092435827,0.125084589222611,0.151811409532752,0.625727367295992,1.00085496089022,4500,2015,"anti-logit Year eff","Asia"
14,0.19751124539499,0.0855503766867309,0.0712809868309178,0.401296050783745,1.00066891938697,4500,2016,"anti-logit Year eff","Asia"
15,0.246889744835399,0.0997884636052286,0.0885322383437664,0.478714163268713,1.00123318718472,3500,2017,"anti-logit Year eff","Asia"
16,0.253517120320288,0.0993686170019614,0.0983191368666064,0.48406631171952,1.00072152324606,4500,2018,"anti-logit Year eff","Asia"
17,0.207980012809731,0.0890432888190156,0.0727090532667565,0.419279696387645,1.0034837133889,710,2019,"anti-logit Year eff","Asia"
18,0.245927370025604,0.103033920105276,0.0858090540903364,0.480191556356527,1.00096659250732,4500,2020,"anti-logit Year eff","Asia"
19,0.172337928135518,0.0805770097246168,0.0571996034896516,0.367169175600063,1.00298348583955,870,2021,"anti-logit Year eff","Asia"
20,0.063263938874039,0.0394966800454384,0.0142688259277458,0.167227645343681,1.00451847011336,520,2022,"anti-logit Year eff","Asia"
21,0.0703087413837447,0.042969456468656,0.0175687484787615,0.18535434289444,1.00458270347894,510,2023,"anti-logit Year eff","Asia"
22,0.0979607382702109,0.0531927880976276,0.0285926169728025,0.231421807326459,1.00371554751466,660,2024,"anti-logit Year eff","Asia"
23,0.0314006070252066,0.0230511920456136,0.00564513397977101,0.0930306536354045,1.00620896447393,360,2025,"anti-logit Year eff","Asia"
1,0.163907576890965,0.0730365702863786,0.0509525786586787,0.335775168598545,1.00086398920533,4500,2003,"MM.p.uw","Asia"
2,0.165262159869421,0.061642917098478,0.0615965945834592,0.299370722583569,1.00251469303159,1100,2004,"MM.p.uw","Asia"
3,0.272818412506615,0.0731534702056253,0.140236283853819,0.427663927533441,1.00067171350694,4500,2005,"MM.p.uw","Asia"
4,0.270110755318298,0.0583655107249336,0.160567984691298,0.39141098369882,1.00105632181761,4500,2006,"MM.p.uw","Asia"
5,0.203219798215174,0.0542972360975127,0.105869641208864,0.315384662685934,1.00227038949849,1200,2007,"MM.p.uw","Asia"
6,0.260489056157634,0.0521941836185199,0.163039148896894,0.367610781830308,1.00309446441842,830,2008,"MM.p.uw","Asia"
7,0.307128466448841,0.0517117579039176,0.211209920800179,0.413344238576825,1.00145441913303,2500,2009,"MM.p.uw","Asia"
8,0.357637886251565,0.0542541642258392,0.252675456296675,0.467601786061975,1.00084018399942,4500,2010,"MM.p.uw","Asia"
9,0.199040565761289,0.0443268329383387,0.118405370886969,0.294675080228202,1.00385141772156,630,2011,"MM.p.uw","Asia"
10,0.266636247572772,0.0491092137242475,0.176417898737546,0.370183394313067,1.00297350756905,870,2012,"MM.p.uw","Asia"
11,0.207924342191312,0.045664299917905,0.125699467837276,0.303150065304386,1.00182448369837,1700,2013,"MM.p.uw","Asia"
12,0.321832374443286,0.060396137444268,0.206831410484846,0.447571582824886,1.00308655560613,830,2014,"MM.p.uw","Asia"
13,0.40529858775359,0.0585836669705453,0.294880163163187,0.523033806651386,1.00112749903633,4300,2015,"MM.p.uw","Asia"
14,0.276994896421705,0.0447709991528722,0.193686209522347,0.370079988365804,1.00118318401911,3900,2016,"MM.p.uw","Asia"
15,0.324951578634949,0.0500629452494699,0.23048383577812,0.428244499637057,1.00453500173155,520,2017,"MM.p.uw","Asia"
16,0.332382504704982,0.0470592737720023,0.241586899538048,0.426968515963377,1.00237742943391,1200,2018,"MM.p.uw","Asia"
17,0.290621193299779,0.0492889404193608,0.195969673773814,0.389230516918197,1.00404041179088,610,2019,"MM.p.uw","Asia"
18,0.319989110602527,0.0527615329225353,0.224033234200874,0.426262783735448,1.00159313937517,2200,2020,"MM.p.uw","Asia"
19,0.271973708314665,0.0518113539743157,0.174831833501583,0.373989911662202,1.00102732113315,4500,2021,"MM.p.uw","Asia"
20,0.151862754391592,0.0438284825666807,0.0747331653112238,0.245216506781343,1.00438929920275,540,2022,"MM.p.uw","Asia"
21,0.169207186642949,0.0441688059674194,0.0914954397835999,0.265210406826449,1.00240312053323,1200,2023,"MM.p.uw","Asia"
22,0.195420041035582,0.0449726266527775,0.114276243940422,0.286066223203674,1.0011162106281,4400,2024,"MM.p.uw","Asia"
23,0.0932867946993548,0.0373007824094099,0.0327426095934398,0.175746887740857,1.00604336874163,370,2025,"MM.p.uw","Asia"
1,0.163907576890965,0.0730365702863786,0.0509525786586787,0.335775168598545,1.00086398920533,4500,2003,"MM.p.w","Asia"
2,0.165262159869421,0.061642917098478,0.0615965945834592,0.299370722583569,1.00251469303159,1100,2004,"MM.p.w","Asia"
3,0.272818412506615,0.0731534702056253,0.140236283853819,0.427663927533441,1.00067171350694,4500,2005,"MM.p.w","Asia"
4,0.270110755318298,0.0583655107249336,0.160567984691298,0.39141098369882,1.00105632181761,4500,2006,"MM.p.w","Asia"
5,0.203219798215174,0.0542972360975127,0.105869641208864,0.315384662685934,1.00227038949849,1200,2007,"MM.p.w","Asia"
6,0.260489056157634,0.0521941836185199,0.163039148896894,0.367610781830308,1.00309446441842,830,2008,"MM.p.w","Asia"
7,0.307128466448841,0.0517117579039176,0.211209920800179,0.413344238576825,1.00145441913303,2500,2009,"MM.p.w","Asia"
8,0.357637886251565,0.0542541642258392,0.252675456296675,0.467601786061975,1.00084018399942,4500,2010,"MM.p.w","Asia"
9,0.199040565761289,0.0443268329383387,0.118405370886969,0.294675080228202,1.00385141772156,630,2011,"MM.p.w","Asia"
10,0.266636247572772,0.0491092137242475,0.176417898737546,0.370183394313067,1.00297350756905,870,2012,"MM.p.w","Asia"
11,0.207924342191312,0.045664299917905,0.125699467837276,0.303150065304386,1.00182448369837,1700,2013,"MM.p.w","Asia"
12,0.321832374443286,0.060396137444268,0.206831410484846,0.447571582824886,1.00308655560613,830,2014,"MM.p.w","Asia"
